brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure,series_id
丰田,铂智3X,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/dfc3ef12f3694e8abc05d4938302bb3e~tplv-resize:640:0.png?psm=motor.rank.data,7948,8.78-13.78万,广汽丰田,紧凑型SUV,纯电动,未知,3年或10万公里,8987
小米汽车,小米SU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cbdad660b73c48808f6c6317e38738e2~tplv-resize:640:0.png?psm=motor.rank.data,7882,21.59-30.39万,小米汽车,中大型车,纯电动,未知,5年或10万公里,6187
广汽传祺,传祺GS3,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/6fbce6a5eb654901a4a685072d0186b6~tplv-resize:640:0.png?psm=motor.rank.data,7806,6.38-8.38万,广汽传祺,小型SUV,汽油,未知,3年或10万公里,1621
宝马,宝马5系,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b2840cd65c064d7a830adb574272813f~tplv-resize:640:0.png?psm=motor.rank.data,7740,29.3-35.7万,华晨宝马,中大型车,48V轻混系统,未知,3年或10万公里,146
丰田,赛那,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0c4126f4e19f4486ab824f4c0abb7a95~tplv-resize:640:0.png?psm=motor.rank.data,7738,24.98-34.38万,广汽丰田,中大型MPV,油电混合,未知,3年或10万公里,5223
奥迪,奥迪A3,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/2440a980eef1436cb95453dd91fbddb3~tplv-resize:640:0.png?psm=motor.rank.data,7611,12.57-15.85万,一汽奥迪,紧凑型车,汽油,未知,3年或10万公里,95
奇瑞,艾瑞泽8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c98a0ac532b542958b9970362fa2c378~tplv-resize:640:0.png?psm=motor.rank.data,7536,8.99-12.89万,奇瑞汽车,紧凑型车,汽油,未知,3年或10万公里,5852
宝马,宝马X3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/fb1e7339815e45b8a6a0ed3751e70b39~tplv-resize:640:0.png?psm=motor.rank.data,7424,26.6-32.8万,华晨宝马,中型SUV,汽油,未知,3年或10万公里,2812
长安,长安CS55 PLUS,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f7e8293a72f146f6beda509020985d4c~tplv-resize:640:0.png?psm=motor.rank.data,7252,7.89-9.69万,长安汽车,紧凑型SUV,汽油,未知,3年或10万公里,4223
丰田,汉兰达,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c01c88a195ec4e568a89fc6b250ff423~tplv-resize:640:0.png?psm=motor.rank.data,7247,21.38-28.98万,广汽丰田,中型SUV,汽油,未知,3年或10万公里,536
